INSTNM,LATITUDE,LONGITUDE
Waynes College of Beauty,36.700635,-121.652672
West Hills College-Coalinga,36.147891,-120.356747
West Los Angeles College,34.004512,-118.386664
West Valley College,37.26398,-122.008324
Carrington College-Sacramento,38.556151,-121.371331
Westminster Theological Seminary in California,33.121447,-117.046371
Westmont College,34.450151,-119.662517
Whittier College,33.978773,-118.032299
Woodbury University,34.208011,-118.341147
The Wright Institute,37.868221,-122.253168
Thomas Jefferson School of Law,32.71014,-117.154191
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,34.085465,-118.346613
Yuba College,39.126536,-121.53964
The Salon Professional Academy-Grand Junction,39.078114,-108.56521
Adams State University,37.473636,-105.879642
Aims Community College,40.409559,-104.763415
Arapahoe Community College,39.607505,-105.018631
Bel-Rea Institute of Animal Technology,39.686194,-104.876207
University of Colorado Denver/Anschutz Medical Campus,39.745149,-104.837722
University of Colorado Colorado Springs,38.892735,-104.800296
Spartan College of Aeronautics and Technology,39.914822,-105.119096
University of Colorado Boulder,40.008781,-105.270823
Colorado Christian University,39.71388,-105.09456
Colorado College,38.84886,-104.822697
Concorde Career College-Aurora,39.718699,-104.867089
Colorado Mountain College,39.54636,-107.324441
Colorado Northwestern Community College,40.081112,-108.790048
Colorado School of Mines,39.751443,-105.223364
Colorado School of Trades,39.74181,-105.104174
Colorado State University-Fort Collins,40.574805,-105.080732
Colorado Technical University-Colorado Springs,38.894265,-104.833928
Community College of Aurora,39.71788,-104.802673
CollegeAmerica-Denver,39.691571,-104.941168
Technical College of the Rockies,38.702524,-108.031072
Community College of Denver,39.741413,-105.001044
Lincoln College of Technology-Denver,39.77651,-104.856171
Denver Seminary,39.600595,-105.022363
University of Denver,39.678005,-104.963259
Emily Griffith Technical College,39.74575,-104.985751
Fort Lewis College,37.275939,-107.867422
Front Range Community College,39.901452,-105.038068
Iliff School of Theology,39.675927,-104.960657
International Salon and Spa Academy,38.913621,-104.786252
Lamar Community College,38.068886,-102.616144
Colorado Mesa University,39.080643,-108.553275
Metropolitan State University of Denver,39.744202,-105.00504
Morgan Community College,40.258792,-103.771822
Naropa University,40.014235,-105.266987
Nazarene Bible College,38.816515,-104.752506
Northeastern Junior College,40.637215,-103.197329
University of Northern Colorado,40.410855,-104.692777
Otero Junior College,37.969984,-103.544874
Altierus Career College-Thornton,39.86156,-104.985441
Pikes Peak Community College,38.764287,-104.787261
Pueblo Community College,38.262124,-104.636258
Red Rocks Community College,39.720277,-105.150094
Regis University,39.788175,-105.030756
Rocky Mountain College of Art and Design,39.74332,-105.069911
Montessori Education Center of the Rockies,40.019673,-105.241331
Colorado State University-Pueblo,38.30859,-104.579033
Pickens Technical College,39.723705,-104.789683
Intellitec College-Colorado Springs,38.832183,-104.78721
Intellitec College-Grand Junction,39.116346,-108.53062
Trinidad State Junior College,37.172059,-104.513451
United States Air Force Academy,39.010957,-104.891358
Empire Beauty School-Thornton,39.915253,-104.94357
Western State Colorado University,38.549936,-106.919132
Albertus Magnus College,41.332519,-72.923848
Asnuntuck Community College,41.998409,-72.570177
Bais Binyomin Academy,41.123098,-74.081172
Branford Hall Career Institute-Branford Campus,41.278557,-72.848201
University of Bridgeport,41.164741,-73.190166
Central Connecticut State University,41.692502,-72.765991
Charter Oak State College,41.688246,-72.767972
Cortiva Institute-Newington,41.685072,-72.710705
Connecticut College,41.379833,-72.107321
Porter and Chester Institute of Branford,41.277311,-72.854898
University of Connecticut,41.809098,-72.249948
Goodwin College,41.742977,-72.64032
Lincoln Technical Institute-East Windsor,41.924248,-72.596915
Eastern Connecticut State University,41.721673,-72.218753
Fairfield University,41.157673,-73.255903
Paul Mitchell the School-North Haven,41.394495,-72.85745
Capital Community College,41.768397,-72.672734
Rensselaer at Hartford,41.773462,-72.673916
American Institute-West Hartford,41.727016,-72.725762
Hartford Seminary,41.769861,-72.707766
University of Hartford,41.798591,-72.715213
Holy Apostles College and Seminary,41.60682,-72.647853
Housatonic Community College,41.175228,-73.191003
Manchester Community College,41.761625,-72.561939
Naugatuck Valley Community College,41.549749,-73.072963
Middlesex Community College,41.539516,-72.611838
Mitchell College,41.328013,-72.09523
Three Rivers Community College,41.509945,-72.103039
Lincoln Technical Institute-New Britain,41.659236,-72.754498
New England Tractor Trailer Training School of Connecticut,41.979699,-72.450218
University of New Haven,41.291314,-72.961472
Norwalk Community College,41.102574,-73.450965
Northwestern Connecticut Community College,41.920668,-73.058734
Paier College of Art Inc,41.347714,-72.935048
Porter and Chester Institute of Stratford,41.169646,-73.149023
Post University,41.535549,-73.081497
Quinebaug Valley Community College,41.82623,-71.889673
Quinnipiac University,41.418915,-72.894117
Sacred Heart University,41.220893,-73.243332
University of Saint Joseph,41.781041,-72.72965
Gateway Community College,41.303785,-72.927682
Southern Connecticut State University,41.333225,-72.947897
Stone Academy-West Haven,41.267503,-72.976966
Trinity College,41.747451,-72.690882
Tunxis Community College,41.705498,-72.87754
United States Coast Guard Academy,41.375823,-72.101583
Wesleyan University,41.554665,-72.657146
Western Connecticut State University,41.400365,-73.444264
Yale University,41.311158,-72.926688
Margaret H Rollins School of Nursing at Beebe Medical Center,38.771565,-75.142864
Dawn Career Institute LLC,39.668605,-75.677768
Delaware Technical Community College-Terry,39.198371,-75.56012
Delaware State University,39.187173,-75.54053
University of Delaware,39.679577,-75.752822
Goldey-Beacom College,39.741501,-75.689624
Schilling-Douglas School of Hair Design LLC,39.711442,-75.74178
Wesley College,39.163182,-75.527716
Wilmington University,39.682299,-75.586998
American University,38.936005,-77.088875
Catholic University of America,38.933651,-76.997909
University of the District of Columbia,38.943819,-77.066247
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,38.931652,-76.998724
Gallaudet University,38.907371,-76.993675
George Washington University,38.89923,-77.048363
Georgetown University,38.908809,-77.073463
Howard University,38.922392,-77.018966
Strayer University-District of Columbia,38.904881,-77.034133
National Conservatory of Dramatic Arts,38.910024,-77.065095
Trinity Washington University,38.927398,-77.004261
Wesley Theological Seminary,38.939606,-77.08996
Atlantic Technical College,26.24278,-80.192271
The Baptist College of Florida,30.962708,-85.503931
Barry University,25.878908,-80.198925
Bethune-Cookman University,29.207195,-81.032946
Lynn University,26.385985,-80.122806
North Florida Technical College,29.952308,-82.117224
Eastern Florida State College,28.38361,-80.756474
Broward College,26.119422,-80.14183
Carlos Albizu University-Miami,25.794178,-80.356315
College of Central Florida,29.166079,-82.175692
Johnson University Florida,28.302547,-81.363053
University of Central Florida,28.602159,-81.200889
Charlotte Technical College,27.005558,-82.147238
Chipola College,30.789228,-85.23139
