INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
University of the Incarnate Word,14750,34487,0.9307,967,6346,7616,44400
International Business College-El Paso,9500,NULL,NULL,NULL,196,2396,19600
International Business College-El Paso,9500,NULL,NULL,NULL,195,1950,19600
ITT Technical Institute-Arlington,12224,27612,0.9121,NULL,612,4342,38800
ITT Technical Institute-Houston West,12224,26525,0.9368,NULL,609,5417,38800
Jacksonville College-Main Campus,PrivacySuppressed,13572,NULL,NULL,296,3733,24100
Jarvis Christian College,9500,22395,NULL,NULL,610,5192,25000
KD Conservatory College of Film and Dramatic Arts,13614.5,24478,0.6806,NULL,153,7408,26500
Kilgore College,5500,9809,NULL,NULL,5764,5845,28600
Lamar University,9500,21142,0.7682,974,9175,7689,39400
Lamar State College-Orange,5500,8118,NULL,NULL,1938,4949,27700
Lamar State College-Port Arthur,5500,14715,NULL,NULL,1811,4459,29900
Laredo Beauty College Inc,PrivacySuppressed,NULL,NULL,NULL,209,NULL,14000
Laredo College,2334,9558,NULL,NULL,8048,5998,29200
Texas A & M International University,6784.5,15272,0.4785,892,6560,7689,43800
Lee College,4500,11869,NULL,NULL,5775,7582,31400
LeTourneau University,17934,37031,0.4066,1175,2173,7287,47700
Lincoln College of Technology-Grand Prairie,10500,NULL,NULL,NULL,867,3701,33800
Lubbock Hair Academy,PrivacySuppressed,NULL,NULL,NULL,49,NULL,PrivacySuppressed
Lubbock Christian University,14574,28493,0.9489,1010,1466,5878,40800
College of the Mainland,3660,12693,NULL,NULL,4188,5699,28400
University of Mary Hardin-Baylor,14250,35000,0.8468,1069,3006,7197,41600
McLennan Community College,5500,13062,NULL,NULL,7302,6734,30100
McMurry University,15000,34650,0.5924,982,1157,5688,38400
Covenant School of Nursing and Allied Health,13000,NULL,NULL,NULL,310,NULL,55100
Metroplex Beauty School,PrivacySuppressed,NULL,NULL,NULL,58,NULL,14800
Midland College,3250,11318,NULL,NULL,3406,6313,36900
Midwestern State University,12498,15704,0.7178,993,5192,7118,39100
William Edge Institute,PrivacySuppressed,NULL,NULL,NULL,53,NULL,15800
Wade College,19044,26394,NULL,NULL,201,3873,25300
Southern Careers Institute-Austin,8237,NULL,NULL,NULL,316,NULL,20500
Mountain View College,4230,11832,NULL,NULL,7419,6816,31200
Altierus Career College-San Antonio,9500,NULL,NULL,NULL,493,NULL,23600
Tint School of Makeup and Cosmetology-Irving,3763,NULL,NULL,NULL,108,NULL,18600
Navarro College,6439,13668,NULL,NULL,10256,6044,30900
Neilson Beauty College,PrivacySuppressed,NULL,NULL,NULL,51,NULL,15000
Lone Star College System,5250,10231,NULL,NULL,56288,6971,34100
North Lake College,4669,11528,NULL,NULL,9319,6630,34800
University of North Texas,12244.5,18593,0.5969,1100,31243,9746,43300
Northeast Texas Community College,5500,11979,NULL,NULL,2510,5808,28700
Northwood University-Texas,15000,31642,0.2578,924,645,6060,45100
Oblate School of Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,4604,NULL
Ocean Corporation,9500,NULL,NULL,NULL,360,NULL,50500
Odessa College,4861,10250,NULL,NULL,3781,5672,32700
Ogle School Hair Skin Nails-Arlington,7917,NULL,NULL,NULL,212,NULL,22500
Ogle School Hair Skin Nails-Ft Worth,7662,NULL,NULL,NULL,223,NULL,19900
Our Lady of the Lake University,13000,33106,0.6561,882,1509,7587,38600
The University of Texas Rio Grande Valley,6500,11601,0.6217,937,17200,7552,40200
Texas Southmost College,6251,13651,NULL,NULL,10379,7007,31100
Panola College,3500,12191,NULL,NULL,2157,5464,31400
Paris Junior College,4381,11567,NULL,NULL,3964,6432,26900
Paul Quinn College,9500,21418,0.9858,775,243,4385,27100
Prairie View A & M University,12750,16782,0.4232,845,6731,7307,34900
Ranger College,5000,11069,NULL,NULL,1738,3780,27400
Aviation Institute of Maintenance-Houston,16281.5,28413,NULL,NULL,251,NULL,NULL
Rice University,7750,52242,0.1674,1454,3920,13468,64300
Richland College,4500,12325,NULL,NULL,15979,7207,33500
Brightwood College-McAllen,9296.5,NULL,NULL,NULL,538,3281,23800
Saint Edward's University,19500,43046,0.7853,1117,4077,7920,45800
St Philip's College,6250,9615,NULL,NULL,7898,6025,28700
University of St Thomas,15976.5,37271,0.7724,1121,1529,6830,48900
Sam Houston State University,14014,19173,0.6499,999,16255,7316,42600
San Antonio College,5250,9314,NULL,NULL,19524,6374,29900
San Jacinto Community College,4750,11890,NULL,NULL,24775,6659,36900
Schreiner University,12500,33631,0.9262,995,1051,5712,38800
Seguin Beauty School-Seguin,6000.5,NULL,NULL,NULL,48,NULL,16100
St. Mary's University,18310,35160,0.5823,1050,2390,9441,45400
South Plains College,5500,7602,NULL,NULL,7765,5299,33600
South Texas Barber College Inc,PrivacySuppressed,NULL,NULL,NULL,42,NULL,PrivacySuppressed
South Texas College of Law Houston,PrivacySuppressed,NULL,NULL,NULL,NULL,15433,NULL
South Texas Vocational Technical Institute-Weslaco,9500,NULL,NULL,NULL,316,NULL,20200
Platt College-STVT-McAllen,8917,NULL,NULL,NULL,351,NULL,18900
Southern Methodist University,17750,57947,0.507,1302,6295,11283,57300
Southwest School of Business and Technical Careers-San Antonio,6126,NULL,NULL,NULL,230,NULL,19300
Southwest Institute of Technology,11902,NULL,NULL,NULL,10,2083,28800
Southwest Texas Junior College,4500,12070,NULL,NULL,3872,5468,27300
Southwestern Assemblies of God University,12000,29652,0.3486,NULL,1669,5329,33200
Southwestern University,20845,46789,0.5217,1168,1528,7926,50000
Stephen F Austin State University,12809,21909,0.5687,998,10715,7087,40000
Texas State University,13650,19721,0.7508,1045,31005,7528,44400
Southwestern Adventist University,12000,27907,0.5392,949,715,6105,39200
Southwestern Christian College,5500,14566,NULL,NULL,169,3645,21700
Sul Ross State University,6500,17254,0.522,865,2000,6180,36900
Tarleton State University,12000,17709,0.5682,984,11328,7074,41600
Tarrant County College District,3500,10167,NULL,NULL,43464,6793,33600
Temple College,7250,11148,NULL,NULL,5292,6490,32600
University of Texas Southwestern Medical Center,4000,NULL,NULL,NULL,10,8190,95700
The University of Texas Health Science Center at San Antonio,11000,NULL,NULL,NULL,793,6882,77800
The University of Texas Medical Branch,15000,NULL,NULL,NULL,725,8355,71900
Texas State Technical College-Waco,7334,12181,NULL,NULL,3699,4067,31700
Texarkana College,4000,13304,NULL,NULL,2884,5596,26000
Texas A & M University-Kingsville,10996,19721,0.881,895,9400,7392,40000
Texas A & M University-College Station,15104.5,20819,0.6947,1182,43931,10287,55500
The University of Texas at Arlington,10500,21420,0.5998,1077,25415,8272,46700
The University of Texas at Austin,18545,25176,0.4019,1262,39323,10900,54900
The University of Texas at Dallas,13000,22381,0.5857,1262,13042,12416,51100
The University of Texas at El Paso,8504,15272,0.9981,923,19527,8167,38900
The University of Texas at Tyler,10500,19366,0.8203,1064,5338,7291,42300
Texas Chiropractic College Foundation Inc,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,46000
Texas Christian University,19000,48189,0.4739,1206,8597,10206,49900
Texas College,7500,20765,NULL,NULL,945,3826,24300
University of North Texas Health Science Center,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,163800
Texas Lutheran University,15750,35480,0.5087,1041,1295,6626,44200
The University of Texas of the Permian Basin,6589,14292,0.8401,1008,2947,7196,44400
The University of Texas at San Antonio,13166,18936,0.7327,1050,23840,9272,44000
Brightwood College-Houston,9271,NULL,NULL,NULL,418,3358,23200
Texas Southern University,12250,22311,0.4503,832,6288,7660,30500
Texas Tech University,15000,20900,0.663,1116,26809,8757,49300
Texas Vocational Schools Inc,4785.5,NULL,NULL,NULL,55,NULL,22900
Texas Wesleyan University,17062.5,30737,0.2992,997,1719,6803,42000
Texas Woman's University,11461,16345,0.8603,953,9220,7511,44000
Trinity University,18750,46274,0.6393,1270,2127,9715,54600
The University of Texas Health Science Center at Houston,15000,NULL,NULL,NULL,701,9121,83000
Texas State Technical College-Harlingen,3500,15157,NULL,NULL,3241,4270,27100
Texas State Technical College-West Texas,6334,19141,NULL,NULL,930,3685,31200
Texas Tech University Health Sciences Center,12500,NULL,NULL,NULL,1346,8072,72500
Tyler Junior College,5500,12655,NULL,NULL,11308,5121,31600
Universal Technical Institute of Texas Inc.,12813,NULL,NULL,NULL,2097,NULL,44300
UCAS University of Cosemtology Arts & Sciences-McAllen,4195,NULL,NULL,NULL,173,NULL,14800
Vernon College,5338.5,10820,NULL,NULL,2586,4902,30500
Victoria Beauty College Inc,3000,NULL,NULL,NULL,26,NULL,14000
Victoria College,5500,11745,NULL,NULL,4176,5777,34000
Vogue College of Cosmetology-McAllen,4750,NULL,NULL,NULL,232,NULL,NULL
Wayland Baptist University,8092,21543,0.9862,940,4246,4845,40000
Weatherford College,5061,11157,NULL,NULL,5549,5647,30000
West Texas A & M University,10500,17553,0.7403,994,6890,7359,40600
Western Texas College,4750,10213,NULL,NULL,675,4544,30100
Wharton County Junior College,5000,8520,NULL,NULL,6164,5828,36800
Wiley College,10500,20096,NULL,NULL,1388,5405,25800
AmeriTech College-Provo,13299,NULL,NULL,NULL,156,NULL,26800
Bridgerland Technical College,PrivacySuppressed,NULL,NULL,NULL,593,NULL,27800
Brigham Young University-Provo,6645,17174,0.4942,1277,27765,9649,56800
Brigham Young University-Hawaii,5500,14544,0.3604,1081,2664,8794,41000
Broadview University-West Jordan,10800,28799,NULL,NULL,221,3764,25900
Cameo College of Essential Beauty,5481,NULL,NULL,NULL,228,NULL,PrivacySuppressed
Sherman Kendall Academy-Salt Lake City,3000,NULL,NULL,NULL,79,NULL,PrivacySuppressed
Collectiv Academy,3675,NULL,NULL,NULL,56,NULL,PrivacySuppressed
Davis Technical College,PrivacySuppressed,NULL,NULL,NULL,1557,NULL,26300
Dixie State University,6250,19421,NULL,NULL,7305,6490,33800
Evans Hairstyling College-Cedar City,5500,NULL,NULL,NULL,33,NULL,PrivacySuppressed
Evans Hairstyling College-St George,PrivacySuppressed,NULL,NULL,NULL,50,NULL,PrivacySuppressed
Paul Mitchell the School-Salt Lake City,9500,NULL,NULL,NULL,265,NULL,PrivacySuppressed
Eagle Gate College-Murray,12669,23998,NULL,NULL,284,4035,28900
ITT Technical Institute-Murray,12224,27563,0.9694,NULL,471,5532,38800
LDS Business College,3500,13688,NULL,NULL,1992,6358,35800
Everest College-Salt Lake City,9500,24315,NULL,NULL,404,3623,25300
Ogden-Weber Technical College,PrivacySuppressed,NULL,NULL,NULL,1908,NULL,24100
Snow College,3500,12410,NULL,NULL,3051,5036,30600
Southern Utah University,5750,18042,0.5709,1066,5620,6526,38400
Stevens-Henager College,8500,22107,NULL,NULL,209,5000,27700
Stevens-Henager College,8500,26204,NULL,NULL,152,4065,27700
Uintah Basin Technical College,PrivacySuppressed,NULL,NULL,NULL,492,NULL,28400
Utah State University,6250,16020,0.9674,1087,20775,8206,42400
Utah Valley University,6500,14213,NULL,NULL,24243,7099,43100
Salt Lake Community College,3500,11192,NULL,NULL,24494,5605,37200
University of Utah,10150,19048,0.8174,1109,23273,7764,51000
Weber State University,5750,13204,NULL,NULL,17314,6927,43300
Westminster College,15500,37990,0.7517,1134,2260,8393,47900
Bennington College,19500,60556,0.6487,NULL,613,8814,26000
Burlington College,12500,33685,0.8291,NULL,199,3755,23800
Castleton University,16860,20799,0.9205,954,2022,6175,36000
Champlain College,19500,44636,0.7079,1122,2851,7305,40800
Community College of Vermont,4156,14004,NULL,NULL,4401,NULL,27100
Goddard College,16951,27188,1,NULL,201,4786,27100
Green Mountain College,14000,44446,0.7555,NULL,578,6012,31000
Northern Vermont University,14750,20404,0.9688,948,1433,6661,31500
Lyndon State College,11000,19178,0.9934,930,1363,6254,32800
Marlboro College,19000,50770,0.7586,NULL,231,6303,26100
Middlebury College,14286,59200,0.1716,1391,2466,10599,55600
New England Culinary Institute,13000,NULL,NULL,NULL,425,4221,33900
Norwich University,18500,47341,0.6349,1065,2432,7147,48500
O'Briens Aveda Institute,9500,NULL,NULL,NULL,80,NULL,16700
Saint Michael's College,23600,48894,0.7511,1173,1941,8319,46900
SIT Graduate Institute,2000,NULL,NULL,NULL,NULL,5570,45000
College of St Joseph,10458,33200,0.6831,842,158,4163,36500
Southern Vermont College,13000,33229,0.994,883,470,4959,35200
Sterling College,13625,40202,0.9388,NULL,114,3237,PrivacySuppressed
Vermont Law School,PrivacySuppressed,NULL,NULL,NULL,NULL,9472,67500
Vermont Technical College,12000,22937,0.8257,933,1361,6170,43400
University of Vermont,16805,27788,0.7755,1190,9970,9562,45200
Paul Mitchell the School-Roanoke,5907,NULL,NULL,NULL,108,NULL,18300
Advanced Technology Institute,13330.5,23908,0.9034,NULL,824,3814,40200
Averett University,15500,36240,0.6329,941,870,6415,41500
Blue Ridge Community College,5399.5,12233,NULL,NULL,3524,6255,32500
Bluefield College,11375,33668,0.9087,900,821,4689,40300
Bridgewater College,18375,41180,0.5493,1033,1822,6211,41100
College of William and Mary,18813,25938,0.3321,1358,6235,10253,55400
Regent University,12000,26825,0.8514,1067,2286,7404,41200
Central School of Practical Nursing,PrivacySuppressed,NULL,NULL,NULL,50,NULL,PrivacySuppressed
Central Virginia Community College,3500,9586,NULL,NULL,2851,6116,26700
Christopher Newport University,19000,24696,0.5902,1161,5083,7705,43600
Suffolk Beauty Academy,9500,NULL,NULL,NULL,48,NULL,PrivacySuppressed
Bryant & Stratton College-Virginia Beach,8283,20490,NULL,NULL,728,3945,22900
Bryant & Stratton College-Richmond,8283,21052,NULL,NULL,906,4950,22900
Jefferson College of Health Sciences,19395,31688,0.4106,963,810,6610,52500
Dabney S Lancaster Community College,4750,8714,NULL,NULL,787,6267,27600
Danville Community College,3500,10712,NULL,NULL,2493,6279,24700
Eastern Virginia Medical School,PrivacySuppressed,NULL,NULL,NULL,NULL,9841,143800
Centura College-Virginia Beach,14750,31740,NULL,NULL,477,3858,23200
Emory & Henry College,15991,40866,0.6572,1004,907,6133,38300
Eastern Mennonite University,13000,38009,0.6505,999,1148,5903,38600
Eastern Shore Community College,PrivacySuppressed,10029,NULL,NULL,652,6087,23000
Ferrum College,10765,38620,0.7411,868,1506,5887,36600
George Mason University,14500,22332,0.6203,1155,21324,10524,58100
Germanna Community College,4750,10402,NULL,NULL,5770,6198,32000
Hampden-Sydney College,19500,49139,0.5486,1113,1070,7887,48700
Hampton University,20316.5,32358,0.3605,990,3529,7455,41700
Hollins University,21500,46049,0.693,1099,568,6552,32200
J Sargeant Reynolds Community College,5500,11262,NULL,NULL,10727,6622,29900
James Madison University,17500,21980,0.6356,1149,18127,8016,53800
John Tyler Community College,4750,10469,NULL,NULL,6402,6497,32900
Everest College-Newport News,9500,23730,NULL,NULL,525,3575,20800
Liberty University,6667,31344,0.2165,1030,47079,4102,35200
Longwood University,17771,23707,0.8136,1002,4357,7013,39900
Lord Fairfax Community College,4500,10732,NULL,NULL,4666,6421,30700
University of Lynchburg,19239,41818,0.6369,1002,2140,7038,42100
Centra College of Nursing,7055,NULL,NULL,NULL,144,6323,45400
Mary Baldwin University,14047,39432,0.8835,959,1307,6471,36200
University of Mary Washington,15000,21862,0.8096,1110,4303,7702,50500
Marymount University,18750,36832,0.8252,1030,2371,8270,52300
Sovah Health School of Health Professions,10933,NULL,NULL,NULL,23,NULL,52800
Mountain Empire Community College,PrivacySuppressed,9755,NULL,NULL,1899,5917,23000
American National University,10721.5,25557,NULL,NULL,1804,4699,21600
New River Community College,4000,10190,NULL,NULL,2885,7068,29700
Sentara College of Health Sciences,15500,NULL,NULL,NULL,285,6481,54600
Tidewater Tech-Trades,9500,27312,NULL,NULL,310,NULL,PrivacySuppressed
Norfolk State University,16250,18837,0.6499,879,5955,7608,33200
Northern Virginia Community College,5500,13571,NULL,NULL,44592,7304,40600
Old Dominion University,14500,20531,0.7679,1016,19483,8729,42600
Patrick Henry Community College,PrivacySuppressed,10517,NULL,NULL,2325,6015,24300
Paul D Camp Community College,PrivacySuppressed,10323,NULL,NULL,892,6237,23700
Southside Regional Medical Center Professional Schools,12000,NULL,0.6,NULL,63,6682,53600
Miller-Motte Technical College-Lynchburg,9500,23379,NULL,NULL,472,3128,19000
Piedmont Virginia Community College,4000,11349,NULL,NULL,3813,6326,29900
Radford University,13995,19987,0.7831,980,8866,7705,42300
Sylvain Melloul International Hair Academy,9830,NULL,NULL,NULL,80,NULL,PrivacySuppressed
Randolph-Macon College,19500,45842,0.637,1082,1294,7406,46200
Randolph College,17500,44330,0.8343,1094,651,7422,40900
Rappahannock Community College,PrivacySuppressed,9764,NULL,NULL,1604,5991,26300
Fortis College-Norfolk,9288,43594,NULL,NULL,291,4406,23500
Richard Bland College,5500,13460,0.5572,837,1078,6156,34900
Bon Secours Memorial College of Nursing,20226,22508,0.5714,NULL,408,6130,61600
University of Richmond,17250,55980,0.3116,1313,3107,10983,60700
Riverside College of Health Careers,13002,NULL,0.0385,NULL,305,5351,54100
Roanoke College,23250,48559,0.7281,1086,1980,7327,43000
Bon Secours St Mary's Hospital School of Medical Imaging,14116,NULL,NULL,NULL,28,NULL,NULL
Shenandoah University,18500,41369,0.8456,1016,1859,7367,41400
Southern Virginia University,7359,30068,0.9987,1015,658,5949,34900
Southside Virginia Community College,PrivacySuppressed,12627,NULL,NULL,2773,6377,23100
Southwest Virginia Community College,PrivacySuppressed,12328,NULL,NULL,1794,6331,22900
Springfield Beauty Academy,4827,NULL,NULL,NULL,79,NULL,20100
Staunton School of Cosmetology,8278,NULL,NULL,NULL,32,NULL,PrivacySuppressed
Strayer University-Virginia,6334,32554,NULL,NULL,4837,6605,47300
Sweet Briar College,16875.5,46966,0.8431,1084,599,6894,36800
