INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Interior Designers Institute,26943,NULL,NULL,NULL,293,5652,31300
Toni & Guy Hairdressing Academy-Santa Monica,10556,NULL,NULL,NULL,268,NULL,PrivacySuppressed
Irvine Valley College,5250,16598,NULL,NULL,11725,8909,33900
ITT Technical Institute-National City,12224,26686,0.9298,NULL,1209,5561,38800
ITT Technical Institute-San Dimas,12224,26194,0.9617,NULL,534,6048,38800
ITT Technical Institute-Orange,12224,25603,0.91,NULL,823,5924,38800
Bellus Academy-El Cajon,7917,NULL,NULL,NULL,184,NULL,20500
John F. Kennedy University,16499,NULL,NULL,NULL,271,6020,53700
American Jewish University,14500,46466,0.59,NULL,109,6231,PrivacySuppressed
Reedley College,3500,10026,NULL,NULL,12081,8852,24200
